bioguideId,last_name,first_name,party,state,chamber,chamber_id
C001102,Clawson,Curt,R,FL,House,1
A000370,Adams,Alma,D,NC,House,1
R000146,Reid,Harry,D,NV,Senate,2
L000174,Leahy,Patrick,D,VT,Senate,2
M000639,Menendez,Robert,D,NJ,Senate,2
D000563,Durbin,Richard,D,IL,Senate,2
S000148,Schumer,Charles,D,NY,Senate,2
H001042,Hirono,Mazie,D,HI,Senate,2
S001194,Schatz,Brian,D,HI,Senate,2
B000944,Brown,Sherrod,D,OH,Senate,2
F000062,Feinstein,Dianne,D,CA,Senate,2
C001088,Coons,Christopher,D,DE,Senate,2
G000555,Gillibrand,Kirsten,D,NY,Senate,2
B001277,Blumenthal,Richard,D,CT,Senate,2
K000367,Klobuchar,Amy,D,MN,Senate,2
B000711,Boxer,Barbara,D,CA,Senate,2
L000261,Levin,Carl,D,MI,Senate,2
H001046,Heinrich,Martin,D,NM,Senate,2
S000770,Stabenow,Deborah,D,MI,Senate,2
J000177,Johnson,Tim,D,SD,Senate,2
B000243,Baucus,Max,D,MT,Senate,2
B001267,Bennet,Michael,D,CO,Senate,2
T000464,Tester,Jon,D,MT,Senate,2
C001070,Casey,Bob,D,PA,Senate,2
H000206,Harkin,Thomas,D,IA,Senate,2
H001069,Heitkamp,Heidi,D,ND,Senate,2
D000607,Donnelly,Joe,D,IN,Senate,2
F000457,Franken,Al,D,MN,Senate,2
C000174,Carper,Thomas,D,DE,Senate,2
V000127,Vitter,David,R,LA,Senate,2
W000805,Warner,Mark,D,VA,Senate,2
K000384,Kaine,Timothy,D,VA,Senate,2
C001056,Cornyn,John,R,TX,Senate,2
K000360,Kirk,Mark,R,IL,Senate,2
C001098,Cruz,Ted,R,TX,Senate,2
B000575,Blunt,Roy,R,MO,Senate,2
R000307,Roberts,Pat,R,KS,Senate,2
C000286,Chambliss,Saxby,R,GA,Senate,2
R000584,Risch,James,R,ID,Senate,2
C000542,Coats,Daniel,R,IN,Senate,2
G000359,Graham,Lindsey,R,SC,Senate,2
W000437,Wicker,Roger,R,MS,Senate,2
F000463,Fischer,Deb,R,NE,Senate,2
B001236,Boozman,John,R,AR,Senate,2
C000880,Crapo,Michael,R,ID,Senate,2
I000055,Isakson,Johnny,R,GA,Senate,2
H001061,Hoeven,John,R,ND,Senate,2
R000595,Rubio,Marco,R,FL,Senate,2
P000449,Portman,Rob,R,OH,Senate,2
L000577,Lee,Mike,R,UT,Senate,2
S001184,Scott,Tim,R,SC,Senate,2
H000338,Hatch,Orrin,R,UT,Senate,2
C000560,Coburn,Tom,R,OK,Senate,2
B001135,Burr,Richard,R,NC,Senate,2
A000360,Alexander,Lamar,R,TN,Senate,2
H001041,Heller,Dean,R,NV,Senate,2
P000603,Paul,Rand,R,KY,Senate,2
U000039,Udall,Tom,D,NM,Senate,2
W000802,Whitehouse,Sheldon,D,RI,Senate,2
M000702,Mikulski,Barbara,D,MD,Senate,2
B001261,Barrasso,John,R,WY,Senate,2
S001141,Sessions,Jeff,R,AL,Senate,2
I000024,Inhofe,Jim,R,OK,Senate,2
M001153,Murkowski,Lisa,R,AK,Senate,2
G000386,Grassley,Charles,R,IA,Senate,2
E000285,Enzi,Michael,R,WY,Senate,2
M000303,Mccain,John,R,AZ,Senate,2
J000293,Johnson,Ron,R,WI,Senate,2
F000444,Flake,Jeff,R,AZ,Senate,2
C000567,Cochran,Thad,R,MS,Senate,2
K000383,King,Angus,I,ME,Senate,2
C001035,Collins,Susan,R,ME,Senate,2
S001181,Shaheen,Jeanne,D,NH,Senate,2
S000033,Sanders,Bernard,I,VT,Senate,2
M001176,Merkley,Jeff,D,OR,Senate,2
B001265,Begich,Mark,D,AK,Senate,2
L000123,Lautenberg,Frank,D,NJ,Senate,2
M000133,Markey,Edward,D,MA,Senate,2
L000550,Landrieu,Mary,D,LA,Senate,2
